path,task,sets,label_number
healthy/healthy-28-roi2.tif,healthy,train,0
healthy/healthy-02-roi5.tif,healthy,train,0
healthy/healthy-03-roi4.tif,healthy,train,0
healthy/healthy-19-roi3.tif,healthy,train,0
healthy/healthy-01-roi5.tif,healthy,train,0
healthy/healthy-19-roi4.tif,healthy,train,0
healthy/healthy-24-roi4.tif,healthy,val,0
healthy/healthy-21-roi4.tif,healthy,val,0
healthy/healthy-30-roi6.tif,healthy,val,0
healthy/healthy-21-roi5.tif,healthy,val,0
healthy/healthy-32-roi1.tif,healthy,val,0
healthy/healthy-32-roi2.tif,healthy,val,0
healthy/healthy-13-roi3.tif,healthy,val,0
healthy/healthy-12-roi2.tif,healthy,val,0
healthy/healthy-29-roi2.tif,healthy,val,0
healthy/healthy-09-roi1.tif,healthy,val,0
healthy/healthy-02-roi1.tif,healthy,val,0
healthy/healthy-25-roi1.tif,healthy,val,0
healthy/healthy-22-roi3.tif,healthy,val,0
healthy/healthy-13-roi1.tif,healthy,val,0
healthy/healthy-16-roi5.tif,healthy,val,0
healthy/healthy-16-roi4.tif,healthy,val,0
healthy/healthy-27-roi1.tif,healthy,val,0
healthy/healthy-22-roi1.tif,healthy,val,0
healthy/healthy-31-roi1.tif,healthy,val,0
healthy/healthy-29-roi1.tif,healthy,test,0
healthy/healthy-18-roi4.tif,healthy,test,0
healthy/healthy-21-roi3.tif,healthy,test,0
healthy/healthy-15-roi1.tif,healthy,test,0
healthy/healthy-32-roi5.tif,healthy,test,0
healthy/healthy-08-roi1.tif,healthy,test,0
healthy/healthy-04-roi1.tif,healthy,test,0
healthy/healthy-22-roi2.tif,healthy,test,0
healthy/healthy-03-roi3.tif,healthy,test,0
healthy/healthy-21-roi1.tif,healthy,test,0
healthy/healthy-30-roi3.tif,healthy,test,0
healthy/healthy-24-roi1.tif,healthy,test,0
healthy/healthy-01-roi2.tif,healthy,test,0
healthy/healthy-17-roi1.tif,healthy,test,0
healthy/healthy-32-roi3.tif,healthy,test,0
healthy/healthy-01-roi4.tif,healthy,test,0
healthy/healthy-27-roi2.tif,healthy,test,0
healthy/healthy-19-roi6.tif,healthy,test,0
healthy/healthy-26-roi1.tif,healthy,test,0
healthy/healthy-19-roi5.tif,healthy,test,0
healthy/healthy-24-roi3.tif,healthy,test,0
healthy/healthy-25-roi2.tif,healthy,test,0
healthy/healthy-26-roi2.tif,healthy,test,0
severe/severe-20-roi5.tif,severe,train,1
severe/severe-04-roi3.tif,severe,train,1
severe/severe-16-roi2.tif,severe,train,1
severe/severe-10-roi1.tif,severe,train,1
severe/severe-04-roi5.tif,severe,train,1
severe/severe-02-roi3.tif,severe,train,1
severe/severe-08-roi2.tif,severe,train,1
severe/severe-15-roi6.tif,severe,train,1
severe/severe-11-roi3.tif,severe,train,1
severe/severe-21-roi2.tif,severe,train,1
severe/severe-08-roi5.tif,severe,train,1
severe/severe-06-roi1.tif,severe,train,1
severe/severe-16-roi6.tif,severe,train,1
severe/severe-27-roi2.tif,severe,train,1
severe/severe-13-roi2.tif,severe,train,1
severe/severe-09-roi2.tif,severe,train,1
severe/severe-15-roi7.tif,severe,train,1
severe/severe-21-roi1.tif,severe,train,1
severe/severe-14-roi1.tif,severe,train,1
severe/severe-10-roi2.tif,severe,train,1
severe/severe-16-roi3.tif,severe,train,1
severe/severe-25-roi5.tif,severe,train,1
severe/severe-03-roi5.tif,severe,train,1
severe/severe-01-roi4.tif,severe,train,1
severe/severe-23-roi2.tif,severe,train,1
severe/severe-14-roi5.tif,severe,train,1
severe/severe-26-roi3.tif,severe,train,1
severe/severe-10-roi3.tif,severe,train,1
severe/severe-17-roi2.tif,severe,train,1
severe/severe-03-roi1.tif,severe,train,1
severe/severe-01-roi1.tif,severe,train,1
severe/severe-02-roi4.tif,severe,train,1
severe/severe-03-roi2.tif,severe,train,1
severe/severe-17-roi7.tif,severe,train,1
severe/severe-24-roi1.tif,severe,train,1
severe/severe-15-roi4.tif,severe,train,1
severe/severe-27-roi1.tif,severe,train,1
severe/severe-12-roi2.tif,severe,train,1
severe/severe-10-roi5.tif,severe,train,1
severe/severe-04-roi4.tif,severe,train,1
severe/severe-22-roi5.tif,severe,train,1
severe/severe-12-roi1.tif,severe,train,1
severe/severe-09-roi1.tif,severe,train,1
severe/severe-19-roi5.tif,severe,train,1
severe/severe-02-roi6.tif,severe,train,1
severe/severe-17-roi1.tif,severe,train,1
severe/severe-02-roi2.tif,severe,train,1
severe/severe-02-roi5.tif,severe,train,1
severe/severe-07-roi4.tif,severe,train,1
severe/severe-05-roi1.tif,severe,train,1
severe/severe-22-roi2.tif,severe,train,1
severe/severe-01-roi3.tif,severe,train,1
severe/severe-13-roi1.tif,severe,train,1
severe/severe-11-roi2.tif,severe,train,1
severe/severe-06-roi4.tif,severe,train,1
severe/severe-15-roi8.tif,severe,train,1
severe/severe-09-roi4.tif,severe,train,1
severe/severe-13-roi4.tif,severe,train,1
severe/severe-05-roi3.tif,severe,train,1
severe/severe-20-roi1.tif,severe,train,1
severe/severe-20-roi2.tif,severe,train,1
severe/severe-22-roi3.tif,severe,train,1
severe/severe-01-roi5.tif,severe,train,1
severe/severe-03-roi4.tif,severe,train,1
severe/severe-19-roi1.tif,severe,train,1
severe/severe-14-roi3.tif,severe,train,1
severe/severe-19-roi2.tif,severe,train,1
severe/severe-22-roi4.tif,severe,train,1
severe/severe-11-roi4.tif,severe,train,1
severe/severe-16-roi1.tif,severe,train,1
severe/severe-09-roi3.tif,severe,train,1
severe/severe-10-roi4.tif,severe,train,1
severe/severe-14-roi4.tif,severe,val,1
severe/severe-08-roi1.tif,severe,val,1
severe/severe-07-roi5.tif,severe,val,1
severe/severe-05-roi5.tif,severe,val,1
severe/severe-23-roi5.tif,severe,val,1
severe/severe-26-roi1.tif,severe,val,1
severe/severe-17-roi5.tif,severe,val,1
severe/severe-15-roi5.tif,severe,val,1
severe/severe-05-roi4.tif,severe,val,1
severe/severe-09-roi5.tif,severe,val,1
severe/severe-03-roi3.tif,severe,val,1
severe/severe-28-roi5.tif,severe,val,1
severe/severe-15-roi1.tif,severe,val,1
severe/severe-13-roi5.tif,severe,val,1
severe/severe-01-roi2.tif,severe,val,1
severe/severe-11-roi5.tif,severe,val,1
severe/severe-14-roi2.tif,severe,val,1
severe/severe-12-roi4.tif,severe,val,1
severe/severe-06-roi2.tif,severe,val,1
severe/severe-19-roi3.tif,severe,test,1
severe/severe-07-roi1.tif,severe,test,1
severe/severe-12-roi3.tif,severe,test,1
severe/severe-06-roi3.tif,severe,test,1
severe/severe-04-roi1.tif,severe,test,1
severe/severe-12-roi5.tif,severe,test,1
severe/severe-08-roi3.tif,severe,test,1
severe/severe-07-roi3.tif,severe,test,1
severe/severe-15-roi2.tif,severe,test,1
severe/severe-16-roi5.tif,severe,test,1
severe/severe-08-roi4.tif,severe,test,1
severe/severe-02-roi1.tif,severe,test,1
severe/severe-16-roi4.tif,severe,test,1
severe/severe-22-roi1.tif,severe,test,1
severe/severe-11-roi1.tif,severe,test,1
severe/severe-18-roi4.tif,severe,test,1
severe/severe-15-roi3.tif,severe,test,1
severe/severe-07-roi2.tif,severe,test,1
severe/severe-05-roi2.tif,severe,test,1
severe/severe-18-roi3.tif,severe,test,1
severe/severe-13-roi3.tif,severe,test,1
severe/severe-23-roi1.tif,severe,test,1
severe/severe-04-roi2.tif,severe,test,1
